unit_id,centroid_lat,centroid_lon,nearest_library,library_lat,library_lon,distance_km,time_min,method
grid_R045_C022,23.289107289747253,120.24238519381974,鹽水區圖書館,23.316355,120.2664,4.3216,6.1016666666666675,osrm_driving
grid_R045_C023,23.28915419430933,120.25216021994974,鹽水區圖書館,23.316355,120.2664,3.9583,5.801666666666667,osrm_driving
grid_R045_C024,23.289200489882223,120.26193527135533,新營區圖書館,23.2952,120.273886,2.2576,5.114999999999999,osrm_driving
grid_R045_C025,23.28924617645961,120.27171034770618,新營區圖書館,23.2952,120.273886,0.9491,1.725,osrm_driving
grid_R045_C026,23.289291254035273,120.28148544867206,新營區圖書館,23.2952,120.273886,1.4934,3.128333333333333,osrm_driving
grid_R045_C027,23.28933572260306,120.29126057392268,柳營區圖書館,23.27839,120.311527,2.7491999999999996,6.068333333333333,osrm_driving
grid_R045_C028,23.289379582156908,120.3010357231277,柳營區圖書館,23.27839,120.311527,2.5664,5.42,osrm_driving
grid_R045_C029,23.289422832690843,120.31081089595688,柳營區圖書館,23.27839,120.311527,1.5146,3.821666666666667,osrm_driving
grid_R045_C030,23.28946547419897,120.32058609207988,柳營區圖書館,23.27839,120.311527,2.6738000000000004,5.366666666666666,osrm_driving
grid_R045_C031,23.289507506675463,120.33036131116644,柳營區圖書館,23.27839,120.311527,3.6613,5.266666666666667,osrm_driving
grid_R045_C032,23.2895489301146,120.34013655288622,柳營區圖書館,23.27839,120.311527,4.977,8.258333333333333,osrm_driving
grid_R045_C033,23.28958974451073,120.34991181690896,柳營區圖書館,23.27839,120.311527,5.679,9.001666666666667,osrm_driving
grid_R045_C034,23.289629949858295,120.35968710290426,柳營區圖書館,23.27839,120.311527,6.9628000000000005,11.14,osrm_driving
grid_R045_C035,23.289669546151806,120.36946241054186,東山區圖書館,23.326158,120.404169,6.894100000000001,10.146666666666668,osrm_driving
grid_R045_C036,23.289708533385873,120.3792377394914,東山區圖書館,23.326158,120.404169,5.9817,8.526666666666667,osrm_driving
grid_R045_C037,23.289746911555167,120.38901308942258,東山區圖書館,23.326158,120.404169,5.293399999999999,8.666666666666666,osrm_driving
grid_R045_C038,23.289784680654464,120.39878846000504,東山區圖書館,23.326158,120.404169,5.161,7.791666666666667,osrm_driving
grid_R045_C039,23.289821840678616,120.40856385090846,東山區圖書館,23.326158,120.404169,6.4799,12.391666666666667,osrm_driving
grid_R045_C040,23.289858391622552,120.41833926180249,東山區圖書館,23.326158,120.404169,7.6138,17.04,osrm_driving
grid_R045_C041,23.289894333481293,120.4281146923568,東山區圖書館,23.326158,120.404169,5.442699999999999,8.243333333333334,osrm_driving
grid_R045_C042,23.289929666249932,120.43789014224102,東山區圖書館,23.326158,120.404169,8.585899999999999,18.49,osrm_driving
grid_R045_C043,23.289964389923664,120.44766561112478,東山區圖書館,23.326158,120.404169,8.200899999999999,12.53,osrm_driving
grid_R045_C044,23.28999850449774,120.45744109867778,東山區圖書館,23.326158,120.404169,9.0025,19.788333333333338,osrm_driving
grid_R045_C045,23.29003200996751,120.4672166045696,東山區圖書館,23.326158,120.404169,11.7582,25.01833333333333,osrm_driving
grid_R045_C046,23.290064906328418,120.4769921284699,東山區圖書館,23.326158,120.404169,12.8435,29.61,osrm_driving
grid_R045_C047,23.290097193575964,120.48676767004837,東山區圖書館,23.326158,120.404169,14.5675,23.73,osrm_driving
grid_R045_C048,23.29012887170575,120.4965432289745,東山區圖書館,23.326158,120.404169,14.9017,22.76833333333333,osrm_driving
grid_R045_C049,23.290159940713465,120.50631880491804,東山區圖書館,23.326158,120.404169,16.5838,24.84,osrm_driving
grid_R045_C050,23.290190400594867,120.51609439754856,東山區圖書館,23.326158,120.404169,18.1889,30.375,osrm_driving
grid_R045_C051,23.290220251345797,120.52587000653568,東山區圖書館,23.326158,120.404169,18.4191,29.42,osrm_driving
grid_R046_C007,23.29735991863847,120.0957020504054,北門區圖書館,23.270354,120.124891,6.577,19.331666666666667,osrm_driving
grid_R046_C008,23.297415981458546,120.1054773170523,北門區圖書館,23.270354,120.124891,5.9509,16.825,osrm_driving
grid_R046_C009,23.297471435130767,120.11525261393734,北門區圖書館,23.270354,120.124891,7.9099,12.176666666666668,osrm_driving
grid_R046_C010,23.297526279647577,120.12502794073023,北門區圖書館,23.270354,120.124891,6.5435,10.86,osrm_driving
grid_R046_C011,23.297580515001503,120.13480329710062,北門區圖書館,23.270354,120.124891,5.0558000000000005,6.5233333333333325,osrm_driving
grid_R046_C012,23.29763414118515,120.14457868271822,北門區圖書館,23.270354,120.124891,4.3578,4.388333333333334,osrm_driving
grid_R046_C013,23.2976871581912,120.15435409725276,北門區圖書館,23.270354,120.124891,5.0363999999999995,6.596666666666667,osrm_driving
grid_R046_C014,23.297739566012435,120.16412954037388,北門區圖書館,23.270354,120.124891,5.801399999999999,7.248333333333333,osrm_driving
grid_R046_C015,23.2977913646417,120.17390501175127,北門區圖書館,23.270354,120.124891,6.9885,9.633333333333333,osrm_driving
grid_R046_C016,23.297842554071945,120.18368051105465,北門區圖書館,23.270354,120.124891,7.7206,13.905,osrm_driving
grid_R046_C017,23.297893134296174,120.1934560379536,北門區圖書館,23.270354,120.124891,12.4197,13.83,osrm_driving
grid_R046_C018,23.297943105307507,120.20323159211785,鹽水區圖書館,23.316355,120.2664,11.693700000000002,13.923333333333334,osrm_driving
grid_R046_C019,23.297992467099128,120.21300717321704,鹽水區圖書館,23.316355,120.2664,10.6445,14.968333333333334,osrm_driving
grid_R046_C020,23.2980412196643,120.2227827809208,鹽水區圖書館,23.316355,120.2664,5.6777,9.458333333333334,osrm_driving
grid_R046_C021,23.29808936299638,120.23255841489885,鹽水區圖書館,23.316355,120.2664,4.9,8.48,osrm_driving
grid_R046_C022,23.298136897088806,120.24233407482072,鹽水區圖書館,23.316355,120.2664,3.8626,6.291666666666667,osrm_driving
grid_R046_C023,23.29818382193509,120.25210976035616,鹽水區圖書館,23.316355,120.2664,2.953,4.538333333333333,osrm_driving
grid_R046_C024,23.298230137528833,120.2618854711747,新營區圖書館,23.2952,120.273886,2.1226,5.489999999999999,osrm_driving
grid_R046_C025,23.298275843863735,120.27166120694602,新營區圖書館,23.2952,120.273886,0.5545,1.3066666666666669,osrm_driving
grid_R046_C026,23.29832094093355,120.28143696733972,新營區圖書館,23.2952,120.273886,1.1523,2.8666666666666667,osrm_driving
grid_R046_C027,23.298365428732133,120.29121275202544,新營區圖書館,23.2952,120.273886,2.6344000000000003,5.33,osrm_driving
grid_R046_C028,23.298409307253426,120.3009885606728,新營文化中心圖書館,23.308579,120.315842,2.3472,4.305000000000001,osrm_driving
grid_R046_C029,23.298452576491425,120.31076439295136,新營文化中心圖書館,23.308579,120.315842,1.5258,2.681666666666666,osrm_driving
grid_R046_C030,23.298495236440253,120.32054024853078,新營文化中心圖書館,23.308579,120.315842,1.4676,3.0616666666666665,osrm_driving
