unit_id,centroid_lat,centroid_lon,nearest_library,library_lat,library_lon,distance_km,time_min,method
grid_R034_C069,23.03905774695932,120.36331673213844,新化區圖書館,23.038088,120.310581,6.5071,11.766666666666667,osrm_driving
grid_R034_C070,23.03907730795773,120.36819530125018,新化區圖書館,23.038088,120.310581,7.2885,11.351666666666668,osrm_driving
grid_R034_C071,23.03909671851541,120.37307387566648,新化區圖書館,23.038088,120.310581,8.0306,16.461666666666666,osrm_driving
grid_R034_C072,23.039115978631717,120.37795245534636,左鎮區圖書館,23.056394,120.408727,6.8182,26.251666666666665,osrm_driving
grid_R034_C073,23.03913508830598,120.38283104024887,左鎮區圖書館,23.056394,120.408727,6.1108,21.938333333333333,osrm_driving
grid_R034_C074,23.03915404753755,120.38770963033306,左鎮區圖書館,23.056394,120.408727,5.1458,16.513333333333332,osrm_driving
grid_R034_C075,23.0391728563258,120.392588225558,左鎮區圖書館,23.056394,120.408727,4.4241,9.73,osrm_driving
grid_R034_C076,23.039191514670073,120.3974668258827,左鎮區圖書館,23.056394,120.408727,3.9276,7.408333333333333,osrm_driving
grid_R034_C077,23.03921002256974,120.40234543126624,左鎮區圖書館,23.056394,120.408727,3.907,15.831666666666669,osrm_driving
grid_R034_C078,23.03922838002417,120.40722404166766,左鎮區圖書館,23.056394,120.408727,3.6816,13.995,osrm_driving
grid_R034_C079,23.039246587032743,120.41210265704602,左鎮區圖書館,23.056394,120.408727,4.2687,10.975,osrm_driving
grid_R034_C080,23.039264643594834,120.41698127736034,左鎮區圖書館,23.056394,120.408727,4.1926000000000005,11.3,osrm_driving
grid_R034_C081,23.039282549709835,120.42185990256964,左鎮區圖書館,23.056394,120.408727,3.1109,6.944999999999999,osrm_driving
grid_R034_C082,23.039300305377132,120.42673853263304,左鎮區圖書館,23.056394,120.408727,3.843,10.425,osrm_driving
grid_R034_C083,23.039317910596125,120.4316171675096,左鎮區圖書館,23.056394,120.408727,3.5890999999999997,8.946666666666665,osrm_driving
